]0;🐍Wi-Fi: off | code.py | 10.3.0\  1639.0 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  47.7°C |  0.00 bar [0.498 V]
  1672.1 s | Boiler:  59.1°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.9 °C |  PP: 16.47 | PD:  0.01  | PI:  0.00 | Brew:  50.8°C |  0.00 bar [0.500 V]
  1672.5 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.01  | PI:  0.00 | Brew:  49.0°C |  0.03 bar [0.506 V]
  1672.9 s | Boiler:  58.6°C [Set: 114.0°C ] | SSR: H1.00 | Err:  55.4 °C |  PP: 16.61 | PD:  0.04  | PI:  0.00 | Brew:  48.2°C |  0.00 bar [0.498 V]
  1673.2 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.44 | PD:  0.00  | PI:  0.00 | Brew:  51.6°C |  0.00 bar [0.497 V]
  1673.5 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.00  | PI:  0.00 | Brew:  50.4°C |  0.01 bar [0.502 V]
  1673.8 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.42 | PD: -0.00  | PI:  0.00 | Brew:  48.1°C |  0.00 bar [0.497 V]
  1674.2 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.00  | PI:  0.00 | Brew:  52.7°C |  0.00 bar [0.493 V]
  1674.5 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.44 | PD:  0.00  | PI:  0.00 | Brew:  54.5°C |  0.00 bar [0.500 V]
  1674.8 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD: -0.01  | PI:  0.00 | Brew:  49.4°C |  0.00 bar [0.497 V]
  1675.1 s | Boiler:  59.4°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.6 °C |  PP: 16.39 | PD: -0.01  | PI:  0.00 | Brew:  49.2°C |  0.00 bar [0.498 V]
  1675.4 s | Boiler:  59.5°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.5 °C |  PP: 16.34 | PD: -0.02  | PI:  0.00 | Brew:  51.6°C |  0.00 bar [0.497 V]
  1675.8 s | Boiler:  59.5°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.5 °C |  PP: 16.36 | PD: -0.02  | PI:  0.00 | Brew:  48.0°C |  0.00 bar [0.495 V]
  1676.1 s | Boiler:  59.6°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.4 °C |  PP: 16.31 | PD: -0.03  | PI:  0.00 | Brew:  51.4°C |  0.02 bar [0.504 V]
